RIS Field	EndNote Field	EndNote Ref. Type	In RIS spec?	Raw Data
CN	Call Number	Ancient Text	N	CN    Call Number
CN	Call Number	Dictionary	N	CN    Call Number
CN	Call Number	Encyclopedia	N	CN    Call Number
CN	Call Number	Grant	N	CN    Call Number
CN	Call Number	Blog	N	CN    Call Number
CN	Call Number	Catalog	N	CN    Call Number
CN	Call Number	Pamphlet	N	CN    Call Number
CN	Call Number	Serial	N	CN    Call Number
CN	Call Number	Standard	N	CN    Call Number
CN	Call Number	Dataset	N	CN    Call Number
CT	Caption	Encyclopedia	Y	CT    Caption
CY	Activity Location	Grant	Y	CY    Activity Location
CY	City	Book	Y	CY    City
CY	City	Thesis	Y	CY    City
CY	City	Personal Communication	Y	CY    City
CY	City	Newspaper Article	Y	CY    City
CY	City	Computer Program	Y	CY    City
CY	City	Book Section	Y	CY    City
CY	City	Edited Book	Y	CY    City
CY	City	Report	Y	CY    City
CY	City	Map	Y	CY    City
CY	City	Audiovisual Material	Y	CY    City
CY	City	Artwork	Y	CY    City
CY	City	Web Page	Y	CY    City
CY	City	Hearing	Y	CY    City
CY	City	Manuscript	Y	CY    City
CY	City	Figure	Y	CY    City
CY	City	Chart or Table	Y	CY    City
CY	City	Equation	Y	CY    City
CY	City	Electronic Article	Y	CY    City
CY	City	Electronic Book	Y	CY    City
CY	City	Government Document	Y	CY    City
CY	City	Classical Work	Y	CY    City
CY	City	Unpublished Work	Y	CY    City
CY	City	Ancient Text	Y	CY    City
CY	City	Dictionary	Y	CY    City
CY	City	Encyclopedia	Y	CY    City
CY	City	Aggregated Database	Y	CY    City
CY	City	Blog	Y	CY    City
CY	City	Catalog	Y	CY    City
CY	City	Pamphlet	Y	CY    City
CY	City	Serial	Y	CY    City
CY	City	Dataset	Y	CY    City
CY	City	Electronic Book Section	Y	CY    City
CY	Conference Location	Conference Proceedings	Y	CY    Conference Location
CY	Conference Location	Conference Paper	Y	CY    Conference Location
CY	Country	Patent	Y	CY    Country
CY	Country	Manuscript-2	Y	CY    Country
CY	Country	Statute	Y	CY    Country
CY	Place Published	Magazine Article	Y	CY    Place Published
CY	Place Published	Generic	Y	CY    Place Published
CY	Place Published	Legal Rule or Regulation	Y	CY    Place Published
CY	Place Published	Standard	Y	CY    Place Published
DA	Date	Journal Article	N	DA    Date
DA	Date	Book	N	DA    Date
DA	Date	Thesis	N	DA    Date
DA	Date	Conference Proceedings	N	DA    Date
DA	Date	Personal Communication	N	DA    Date
DA	Date	Magazine Article	N	DA    Date
DA	Date	Edited Book	N	DA    Date
DA	Date	Report	N	DA    Date
DA	Date	Map	N	DA    Date
DA	Date	Audiovisual Material	N	DA    Date
DA	Date	Artwork	N	DA    Date
DA	Date	Patent	N	DA    Date
DA	Date	Bill	N	DA    Date
DA	Date	Hearing	N	DA    Date
DA	Date	Manuscript	N	DA    Date
DA	Date	Figure	N	DA    Date
DA	Date	Chart or Table	N	DA    Date
DA	Date	Equation	N	DA    Date
DA	Date	Generic	N	DA    Date
DA	Date	Conference Paper	N	DA    Date
DA	Date	Unpublished Work	N	DA    Date
DA	Date	Ancient Text	N	DA    Date
DA	Date	Encyclopedia	N	DA    Date
DA	Date	Catalog	N	DA    Date
DA	Date	Pamphlet	N	DA    Date
DA	Date	Serial	N	DA    Date
DA	Date	Standard	N	DA    Date
DA	Date	Electronic Book Section	N	DA    Date
DA	Date Accessed	Electronic Article	N	DA    Date Accessed
DA	Date Accessed	Electronic Book	N	DA    Date Accessed
DA	Date Accessed	Online Database	N	DA    Date Accessed
DA	Date Accessed	Online Multimedia	N	DA    Date Accessed
DA	Date Accessed	Aggregated Database	N	DA    Date Accessed
DA	Date Decided	Case	N	DA    Date Decided
DA	Date Enacted	Statute	N	DA    Date Enacted
DA	Date of Code Edition	Legal Rule or Regulation	N	DA    Date of Code Edition
DA	Date of Collection	Dataset	N	DA    Date of Collection
DA	Date Released	Manuscript-2	N	DA    Date Released
DA	Deadline	Grant	N	DA    Deadline
DA	Issue Date	Newspaper Article	N	DA    Issue Date
DA	Last Update Date	Web Page	N	DA    Last Update Date
